127.0.0.1 - - [23/Jan/2022:12:05:20 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:23 +0530] "GET /Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:23 +0530] "GET /Project4/img/logo.png HTTP/1.1" 404 920
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:25 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:27 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:31 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:31 +0530] "GET /Project4/UserRegistrationCtl HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:38 +0530] "POST /Project4/UserRegistrationCtl HTTP/1.1" 200 6545
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:47 +0530] "POST /Project4/UserRegistrationCtl HTTP/1.1" 200 6498
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:05:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:07:42 +0530] "POST /Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:07:42 +0530] "GET /Project4/UserRegistrationCtl HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:07:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:08:11 +0530] "POST /Project4/UserRegistrationCtl HTTP/1.1" 200 6509
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:08:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:08:14 +0530] "POST /Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:08:14 +0530] "GET /Project4/UserRegistrationCtl HTTP/1.1" 200 6310
0:0:0:0:0:0:0:1 - - [23/Jan/2022:12:08:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
