127.0.0.1 - - [01/Feb/2022:15:52:12 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:52:14 +0530] "GET /Project4/ HTTP/1.1" 200 642
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:52:15 +0530] "GET /Project4/img/logo.png HTTP/1.1" 404 920
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:52:21 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:52:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:52:30 +0530] "GET /Project4/LoginCtl HTTP/1.1" 200 2919
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:52:52 +0530] "POST /Project4/LoginCtl HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:53:00 +0530] "POST /Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:53:01 +0530] "POST /Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:53:10 +0530] "POST /Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:53:13 +0530] "POST /Project4/LoginCtl HTTP/1.1" 200 2976
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:53:21 +0530] "POST /Project4/LoginCtl HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:53:41 +0530] "POST /Project4/LoginCtl HTTP/1.1" 200 2975
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:54:02 +0530] "POST /Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:54:02 +0530] "GET /Project4/WelcomeCtl HTTP/1.1" 200 3369
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:54:17 +0530] "GET /Project4/ctl/MarksheetCtl HTTP/1.1" 200 7836
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:54:43 +0530] "GET /Project4/ctl/UserCtl HTTP/1.1" 200 9140
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:54:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:55:49 +0530] "POST /Project4/ctl/UserCtl HTTP/1.1" 200 9396
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:55:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:55:55 +0530] "POST /Project4/ctl/UserCtl HTTP/1.1" 200 9330
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:55:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:56:10 +0530] "POST /Project4/ctl/UserCtl HTTP/1.1" 200 9333
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:56:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:56:28 +0530] "POST /Project4/ctl/UserCtl HTTP/1.1" 500 9166
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:56:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:56:33 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 13938
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:56:37 +0530] "GET /Project4/ctl/UserListCtl HTTP/1.1" 200 13938
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:56:40 +0530] "POST /Project4/ctl/UserListCtl HTTP/1.1" 200 13409
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:56:44 +0530] "POST /Project4/ctl/UserListCtl HTTP/1.1" 200 11530
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:57:03 +0530] "GET /Project4/ctl/MyProfileCtl HTTP/1.1" 200 6117
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:57:03 +0530] "GET /Project4/js/calendar.js HTTP/1.1" 404 920
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:57:22 +0530] "GET /Project4/ctl/ChangePasswordCtl HTTP/1.1" 200 5010
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:57:41 +0530] "GET /Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4198
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:57:49 +0530] "POST /Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4221
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:57:50 +0530] "POST /Project4/ctl/GetMarksheetCtl HTTP/1.1" 200 4221
0:0:0:0:0:0:0:1 - - [01/Feb/2022:15:58:15 +0530] "GET /Project4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 7576
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:01:38 +0530] "GET /Project4/ctl/MarksheetCtl HTTP/1.1" 200 7836
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:01:56 +0530] "POST /Project4/ctl/MarksheetCtl HTTP/1.1" 200 7868
0:0:0:0:0:0:0:1 - - [01/Feb/2022:16:02:13 +0530] "POST /Project4/ctl/MarksheetCtl HTTP/1.1" 200 7868
